Date,Open,High,Low,Close,Adj Close,Volume
2019-01-29,37.476280,38.757114,37.447819,38.681213,35.832676,51376800
2019-01-30,38.681213,39.611004,38.643265,39.449715,36.544582,36067900
2019-01-31,39.259960,40.436432,39.231499,40.275143,37.635078,40927500
2019-02-01,40.673626,40.910816,40.370018,40.683113,38.016304,27239700
2019-02-04,40.645161,40.645161,39.810246,40.265656,37.626209,19426500
2019-02-05,40.256168,40.540798,39.905125,39.952560,37.333645,21127600
2019-02-06,39.772297,40.199242,39.648956,40.161289,37.528687,16450400
2019-02-07,39.952560,39.990513,39.098671,39.563568,36.970146,24248000
2019-02-08,39.402279,40.075901,39.364326,40.066414,37.440025,27500100
2019-02-11,40.113853,40.142315,39.383301,39.544594,36.952415,27102100
2019-02-12,39.573055,39.857685,39.269451,39.724857,37.120857,30540200
2019-02-13,39.772297,39.905125,39.269451,39.563568,36.970146,24757200
2019-02-14,39.563568,39.962048,39.487667,39.819733,37.209522,19864900
2019-02-15,40.208729,40.332069,39.924099,40.227703,37.590740,19169000
2019-02-19,40.075901,40.664135,40.028461,40.417458,37.768059,24433000
2019-02-20,40.351044,40.379505,39.781784,40.037952,37.413437,27354900
2019-02-21,39.867172,40.151802,39.715370,39.981026,37.360233,19611900
2019-02-22,40.132828,40.920303,40.056927,40.759014,38.087234,24779300
2019-02-25,40.834915,41.148006,40.740040,40.872864,38.193619,25274800
2019-02-26,40.759014,41.015179,40.607212,40.815941,38.140423,16549000
2019-02-27,40.777988,41.005692,40.616699,40.730549,38.060631,16475100
2019-02-28,40.749527,41.537003,40.673626,41.129032,38.432991,39002400
2019-03-01,41.375713,41.546490,41.072105,41.138519,38.441856,26667800
2019-03-04,41.214420,41.356735,40.683113,40.863377,38.184746,22805800
2019-03-05,40.882355,41.034157,40.654648,40.692600,38.025173,26529800
2019-03-06,40.626186,40.673626,39.487667,39.715370,37.111996,22410400
2019-03-07,39.715370,39.743832,39.136623,39.269451,36.695305,29046100
2019-03-08,39.212524,39.316887,38.273243,38.795067,36.252022,31306100
2019-03-11,38.994308,39.392788,38.709679,39.373814,36.792828,29161500
2019-03-12,39.563568,39.772297,39.250473,39.592030,36.996742,24170500
2019-03-13,39.724857,39.971539,39.421253,39.857685,37.244984,23715300
2019-03-14,39.848198,39.924099,39.022770,39.079697,36.517994,32119600
2019-03-15,39.117645,39.734344,38.766602,39.639469,37.041069,74768700
2019-03-18,39.629982,39.914612,39.516129,39.667931,37.067673,18994300
2019-03-19,39.819733,40.256168,39.611004,40.132828,37.502087,26403200
2019-03-20,40.037952,40.227703,39.639469,40.009487,37.386837,23499000
2019-03-21,39.781784,40.455406,39.724857,40.180267,37.546417,24262600
2019-03-22,40.037952,40.436432,39.686909,39.705883,37.103130,19620100
2019-03-25,39.667931,39.990513,39.535103,39.743832,37.138588,19823300
2019-03-26,40.037952,40.512333,39.971539,40.246681,37.608479,20849300
2019-03-27,40.170776,40.455406,39.772297,39.867172,37.253845,19455000
2019-03-28,40.018974,40.199242,39.905125,40.123341,37.493221,16915500
2019-03-29,40.227703,40.398483,40.028461,40.294117,37.652805,21681800
2019-04-01,40.398483,40.740040,40.370018,40.645161,37.980835,20345000
2019-04-02,40.749527,40.967743,40.550285,40.711575,38.042900,18625100
2019-04-03,40.787476,40.863377,40.370018,40.645161,37.980835,16200400
2019-04-04,40.597721,40.721062,40.322582,40.550285,37.892185,12991000
2019-04-05,40.777988,41.062618,40.692600,40.787476,38.113823,15559000
